missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,corr_resid_vs_abs_error,residual_mean,MAE,n
MNAR_self_mask,0.3,0.0,100000,0.5757662135934107,1.3765590224790831,0.03806247725130269,2533.0
MNAR_self_mask,0.3,0.2,100,0.7646371179371513,1.3506540153059081,0.13429958062215946,2535.0
MNAR_self_mask,0.3,0.2,500,0.5142887925389094,1.2748549225648627,0.09458350001698647,2535.0
MNAR_self_mask,0.3,0.2,1000,0.3893568533975136,1.3796321001404726,0.09193586309147084,2533.0
MNAR_self_mask,0.3,0.2,5000,0.44769309639438665,1.3471166549947662,0.061033180707778883,2533.0
MNAR_self_mask,0.3,0.2,10000,0.4508919508353469,1.360677301203492,0.055265933029162786,2533.0
MNAR_self_mask,0.3,0.2,50000,0.5601147802590201,1.3618869829113116,0.05160033274640281,2533.0
MNAR_self_mask,0.3,0.2,100000,0.5574932535380753,1.365197918804988,0.050603142652359684,2533.0
MNAR_self_mask,0.3,0.4,100,0.7403829837644992,1.3514001152465007,0.12997851697720927,2535.0
MNAR_self_mask,0.3,0.4,500,0.666630716617228,1.313410810893432,0.11037186907981526,2535.0
MNAR_self_mask,0.3,0.4,1000,0.4826491049642596,1.342537551590191,0.09884188484663414,2533.0
MNAR_self_mask,0.3,0.4,5000,0.6291049989568511,1.3381837287572045,0.06962584169572482,2533.0
MNAR_self_mask,0.3,0.4,10000,0.6198252296386213,1.3389815995271879,0.06375731931234892,2533.0
MNAR_self_mask,0.3,0.4,50000,0.6734350984729311,1.335879578187674,0.060473486225514926,2533.0
MNAR_self_mask,0.3,0.4,100000,0.6909600609704426,1.3364221820251208,0.05981655955830011,2533.0
