missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,MAE,RMSE,bias,median_abs_error,RelativeSlopeError
biological_error,0.95,0.0,100,2533,0.1888311873913388,0.28163684647681203,0.005376249035348071,0.1514692218156861,1.19781402029189
biological_error,0.95,0.0,500,2533,0.16238719823454248,0.18883324407805863,0.0024555152453263574,0.14556143147508818,0.9881769238046841
biological_error,0.95,0.0,1000,2533,0.15960243591891995,0.18451639538668216,0.0018279912655480251,0.1436558968024771,0.9621205213245563
biological_error,0.95,0.0,5000,2533,0.15898799247169204,0.18170762073589136,0.002645691767368352,0.14086136919407952,0.9511211810688487
biological_error,0.95,0.0,10000,2533,0.15895400873526838,0.18135432399606097,0.0023306227845216175,0.1402357579850328,0.9519894080762873
biological_error,0.95,0.0,50000,2533,0.15884384506587887,0.18074570521313887,0.0022050421257592528,0.1402238478452782,0.9516606572403722
biological_error,0.95,0.2,100,2533,0.21953583731067605,0.2696770784302935,0.009388772219424142,0.1852489311209474,1.1043784167845534
biological_error,0.95,0.2,500,2533,0.1990781564719321,0.22804895563364783,0.007448497207124773,0.1798001537363847,0.9750059898260545
biological_error,0.95,0.2,1000,2533,0.19671557510280765,0.2239829651448934,0.0068517271709291495,0.1773427123229806,0.9552032629145473
biological_error,0.95,0.2,5000,2533,0.1975280946344743,0.22292493750997577,0.008144516367469816,0.175375163385949,0.9528333135130201
biological_error,0.95,0.2,10000,2533,0.1974067173123561,0.2224422611092322,0.007754971733329414,0.1753215489194315,0.953250816194475
biological_error,0.95,0.2,50000,2533,0.19744642679032365,0.22235971801327134,0.0076973644109344435,0.1749032639407667,0.9527543843785496
biological_error,0.95,0.2,100000,2533,0.1974534883349285,0.22234987806308212,0.007695959319211471,0.1749546216182744,0.9528648689686261
biological_error,0.95,0.4,100,2533,0.20577997933989486,0.25769511044291016,0.008435903658364769,0.1745384397743669,1.1210708227178126
biological_error,0.95,0.4,500,2533,0.18518675688709044,0.2126386863649132,0.006962097252066093,0.1656197570947192,0.9865768982336373
biological_error,0.95,0.4,1000,2533,0.1825609980728883,0.2084785699370764,0.006522699813409142,0.1630962517718616,0.9628526991514988
biological_error,0.95,0.4,5000,2533,0.18209574929171732,0.20579692801765156,0.007052983437096876,0.1634475337785525,0.9548999156660862
biological_error,0.95,0.4,10000,2533,0.18189232352493434,0.2053094858307037,0.0067777996409076145,0.16240960425359238,0.953926146098276
biological_error,0.95,0.4,50000,2533,0.18184335707560575,0.2052736548947625,0.00666736217897056,0.16159314516918588,0.9526449239480668
biological_error,0.95,0.4,100000,2533,0.18193506713831303,0.20531215457069646,0.006632241910146717,0.162364808743838,0.9533850341369816
biological_error,0.95,0.6,100,2533,0.26875685710058256,0.34652782641163715,0.006098184265076006,0.2248111570848373,1.1029374084624304
biological_error,0.95,0.6,500,2533,0.24372452793205177,0.27903609826769515,0.006141724751799772,0.2183428971153155,0.9792343607383865
biological_error,0.95,0.6,1000,2533,0.24176585727284003,0.2751844801005323,0.0068055388628231635,0.21673282421492962,0.9658332267758394
biological_error,0.95,0.6,5000,2533,0.24060833750046998,0.2722391229384127,0.005939958229122877,0.2134811505531258,0.9551191058455021
biological_error,0.95,0.6,10000,2533,0.2407203141266458,0.27213506556695555,0.005708416812719056,0.2137946833303243,0.9560145748368853
biological_error,0.95,0.6,50000,2533,0.24031708358551077,0.2715175764093188,0.0058359941981729405,0.2117308424084955,0.9543793168767702
biological_error,0.95,0.6,100000,2533,0.24046984299724794,0.2716796512498281,0.005919243438926668,0.2110942338494714,0.954928430038543
biological_error,0.99,0.0,100,2533,0.19265144782411914,0.35017894297818836,-0.0019871580582829737,0.1508832947620798,1.174871534201287
biological_error,0.99,0.0,500,2533,0.170395220783567,0.1978901038364936,-0.00033372993240610155,0.1477510383865454,1.0241078127151664
biological_error,0.99,0.0,1000,2533,0.1678606177217781,0.19262730641104842,0.0016659606901791215,0.1474889539676415,1.0100758283698545
biological_error,0.99,0.0,5000,2533,0.16533773801604698,0.1888170991211225,0.0017548830786410492,0.14600377228118802,0.9914349205799399
biological_error,0.99,0.0,10000,2533,0.16525007862300917,0.1883035506721826,0.0014128962505281192,0.1456962104936677,0.9895389963538583
biological_error,0.99,0.0,50000,2533,0.16536683994653106,0.18811670432611116,0.001407349726471775,0.14559761156386689,0.9904633465136709
biological_error,0.99,0.0,100000,2533,0.1653308620062936,0.18801508163945738,0.0014016872072673803,0.14540841083455208,0.9903119755002593
biological_error,0.99,0.2,100,2533,0.21372837610032366,0.2659778124745351,0.005100435296367914,0.184121045377405,1.0396123711016736
biological_error,0.99,0.2,500,2533,0.2098416510176688,0.2397701985206159,0.004762600054474738,0.18411663843626783,1.0213948718774126
biological_error,0.99,0.2,1000,2533,0.20747062622394952,0.23498230282612467,0.006367666658637689,0.1837481276991872,1.0075545772221663
