missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,residual_mean,residual_median,residual_std
biological_error,0.9,0.0,100,2533,1.4807344430324054,1.085951105050878,1.3537162228633557
biological_error,0.9,0.0,500,2533,1.429342044832693,1.0298223703328369,1.3808962190949745
biological_error,0.9,0.0,1000,2533,1.5115576930840608,1.1614569468625526,1.3061511598171531
biological_error,0.9,0.0,5000,2533,1.3624566284348858,1.008875776640062,1.2470853011104526
biological_error,0.9,0.0,10000,830,1.443933370778792,1.0947009316449339,1.255494628508775
biological_error,0.9,0.0,50000,2533,2.8537831895940777,2.070550709667885,2.673869124372247
biological_error,0.9,0.0,100000,2533,3.1143773177500567,2.3762256883385695,2.699762308736827
biological_error,0.9,0.2,100,2533,1.5793220612826424,1.168673028239526,1.466066664445084
biological_error,0.9,0.2,500,2533,1.5609269760602975,1.2211161324914026,1.3283800728941753
biological_error,0.9,0.2,1000,2533,1.4628266640913592,1.1316418875340708,1.2972463536950651
biological_error,0.9,0.2,5000,2533,1.409164437588436,1.0411117606331584,1.3437552761237648
biological_error,0.9,0.2,10000,658,1.5845068402404,1.2460675969304709,1.332440625367633
biological_error,0.9,0.2,50000,2533,2.936005370370344,2.1883243132910666,2.7013241837660527
biological_error,0.9,0.2,100000,2533,2.60966667365274,1.8805969921855663,2.666416946089219
biological_error,0.9,0.4,100,2533,1.5365124586716177,1.1182576855699145,1.4595042084387766
biological_error,0.9,0.4,500,2533,1.4614992602039802,1.1183790574228771,1.2733069558026742
biological_error,0.9,0.4,1000,2533,1.583407694027291,1.2158719279304664,1.3087949134855217
biological_error,0.9,0.4,5000,2533,1.3704695315475959,0.9969021406904974,1.2827660831651087
biological_error,0.9,0.4,10000,657,1.6188363560740404,1.2178346872322816,1.3747927046068436
biological_error,0.9,0.4,50000,2533,3.0900304638316367,2.420749551978965,2.6646117486320593
biological_error,0.9,0.4,100000,2533,2.8863285542622448,2.1850513883335108,2.575879945778491
biological_error,0.95,0.0,100,2533,0.7889846144775646,0.5410759943851967,0.79795843854302
biological_error,0.95,0.0,500,2533,0.748302497029648,0.5325116313141799,0.7386776544316854
biological_error,0.95,0.0,1000,2533,0.7935057556708763,0.6112158327460282,0.7008849943208901
biological_error,0.95,0.0,5000,2533,0.7154218924888063,0.536133536130028,0.6564116043166514
biological_error,0.95,0.0,10000,754,0.7628719189094169,0.5664885149334102,0.670743259759845
biological_error,0.95,0.0,50000,2533,1.5009631411202673,1.0922940159663743,1.4097412848601019
biological_error,0.95,0.0,100000,2533,1.6393403443345922,1.2391311771109228,1.424980879997336
biological_error,0.95,0.2,100,2533,0.8370714839750941,0.5600833341600817,0.8564550433862227
biological_error,0.95,0.2,500,2533,0.8146750822678086,0.6277544657746861,0.7075277390834175
biological_error,0.95,0.2,1000,2533,0.7687945968297417,0.5890413984108408,0.6883936760826989
biological_error,0.95,0.2,5000,2533,0.7403248967557858,0.5418606810558871,0.7100854776758689
biological_error,0.95,0.2,10000,590,0.8409135325316328,0.6641130204310196,0.713575711844721
biological_error,0.95,0.2,50000,2533,1.5442516501972225,1.1498755949496644,1.4252703949397871
biological_error,0.95,0.2,100000,2533,1.3728269730104161,0.9870502444838984,1.4062068325925507
biological_error,0.95,0.4,100,2533,0.8191274915846387,0.5684717616766453,0.8430961505600121
biological_error,0.95,0.4,500,2533,0.7628194418577581,0.5673422312388213,0.6907923033948288
biological_error,0.95,0.4,1000,2533,0.8323197938007454,0.6491089933052797,0.7018519661934584
biological_error,0.95,0.4,5000,2533,0.719130189754946,0.5141346864050959,0.679024950542181
biological_error,0.95,0.4,10000,581,0.8676822017735858,0.67043343207476,0.7302413120961181
biological_error,0.95,0.4,50000,2533,1.6234469652221033,1.2672647462109048,1.4036028971962307
biological_error,0.95,0.4,100000,2533,1.5176643121918887,1.1447503995773085,1.3581802598358876
biological_error,0.97,0.0,100,2533,0.4863543753792026,0.315446898925492,0.5490030434551741
biological_error,0.97,0.0,500,2533,0.4604789383674597,0.3191301378685381,0.4736921704937601
biological_error,0.97,0.0,1000,2533,0.4838768145359728,0.3625812805759184,0.4375800238461939
biological_error,0.97,0.0,5000,2533,0.43864839674128836,0.3247703787670046,0.4065373852576437
biological_error,0.97,0.0,10000,775,0.46945354265616557,0.3603086367496522,0.41365758203193004
biological_error,0.97,0.0,50000,2533,0.9180523487886809,0.6672610408179377,0.8620047301489756
