cause,effect,nonident_cause,rescue_nodes,n_rescue_nodes
oxyR,uof,cross_scc_blocked,fur|oxyR,2
oxyR,uxuA,cross_scc_blocked,fur|oxyR,2
oxyR,uxuB,cross_scc_blocked,fur|oxyR,2
oxyR,xthA,cross_scc_blocked,fur|oxyR,2
oxyR,ybjC,cross_scc_blocked,fur|oxyR,2
oxyR,ybjN,cross_scc_blocked,fur|oxyR,2
oxyR,ychF,cross_scc_blocked,fur|oxyR|rpoD,3
oxyR,yjjZ,cross_scc_blocked,fur|oxyR,2
oxyR,zinT,cross_scc_blocked,fur|oxyR,2
soxR,aroF,cross_scc_blocked,fur|soxR,2
oxyR,znuA,cross_scc_blocked,fur|oxyR,2
oxyR,znuB,cross_scc_blocked,fur|oxyR|rpoD,3
oxyR,znuC,cross_scc_blocked,fur|oxyR|rpoD,3
plaR,plaR,self_loop,,0
rbsR,rbsR,self_loop,,0
rhaR,rhaR,self_loop,,0
rhaR,rhaS,two_cycle,rhaR,1
rhaS,rhaR,two_cycle,rhaS,1
rhaS,rhaS,self_loop,,0
rplM,rplM,self_loop,,0
soxR,fumC,cross_scc_blocked,fur|soxR,2
rpsF,priB,cross_scc_blocked,,0
rpsF,rplI,cross_scc_blocked,,0
rpsF,rpsF,self_loop,,0
rpsF,rpsR,two_cycle,rpsF,1
rpsR,priB,cross_scc_blocked,,0
rpsR,rplI,cross_scc_blocked,,0
rpsR,rpsF,two_cycle,rpsR,1
rpsR,rpsR,self_loop,,0
srlR,gutM,two_cycle,srlR,1
srlR,gutQ,cross_scc_blocked,,0
soxR,sodA,cross_scc_blocked,fur|soxR,2
srlR,srlA,cross_scc_blocked,,0
srlR,srlB,cross_scc_blocked,,0
srlR,srlD,cross_scc_blocked,,0
srlR,srlE,cross_scc_blocked,,0
srlR,srlR,self_loop,,0
sxy,sxy,self_loop,,0
tdcA,tdcA,self_loop,,0
uxuR,exuR,two_cycle,uxuR,1
uxuR,lgoD,cross_scc_blocked,,0
uxuR,lgoR,cross_scc_blocked,,0
soxR,soxR,self_loop,,0
uxuR,uxuA,cross_scc_blocked,,0
uxuR,uxuB,cross_scc_blocked,,0
uxuR,uxuR,self_loop,,0
zraR,acrE,cross_scc_blocked,zraR,1
zraR,cpxP,cross_scc_blocked,zraR,1
zraR,cspB,cross_scc_blocked,rpoD|zraR,2
zraR,exuR,cross_scc_blocked,zraR,1
zraR,fliA,same_scc_long,zraR,1
zraR,gadW,same_scc_long,zraR,1
zraR,glnA,cross_scc_blocked,zraR,1
soxR,soxS,scc_edge_dissolved,fur|soxR,2
zraR,glnH,cross_scc_blocked,zraR,1
zraR,mdtL,cross_scc_blocked,fur|zraR,2
zraR,pnp,cross_scc_blocked,zraR,1
zraR,raiA,cross_scc_blocked,zraR,1
zraR,rfaD,cross_scc_blocked,zraR,1
zraR,rmf,cross_scc_blocked,zraR,1
zraR,rpoH,same_scc_long,zraR,1
zraR,ssrA,cross_scc_blocked,rpoD|zraR,2
zraR,tnaA,cross_scc_blocked,zraR,1
zraR,tnaB,cross_scc_blocked,zraR,1
soxR,tyrA,cross_scc_blocked,fur|soxR,2
zraR,yhhY,cross_scc_blocked,zraR,1
zraR,zraP,cross_scc_blocked,rpoN|zraR,2
zraR,zraR,self_loop,,0
zraR,zraS,cross_scc_blocked,zraR,1
fliA,aer,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,cheA,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,cheB,cross_scc_blocked,fliA|fliZ|fnr|gadE,4
fliA,cheR,cross_scc_blocked,fliA|fliZ|fnr|gadE,4
fliA,cheW,cross_scc_blocked,cpxR|fliA|fliZ|gadE,4
fliA,cheY,cross_scc_blocked,fliA|fliZ|fnr|gadE,4
flhC,ccmC,cross_scc_blocked,flhC|fliZ,2
soxR,yjcB,cross_scc_blocked,fur|nac|soxR,3
fliA,cheZ,cross_scc_blocked,fliA|fliZ|fnr|gadE,4
fliA,flgM,cross_scc_blocked,fliA|fliZ,2
fliA,flgN,cross_scc_blocked,fliA|fliZ,2
fliA,fliA,self_loop,,0
fliA,fliC,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,fliD,cross_scc_blocked,fliA|fliZ,2
fliA,fliE,cross_scc_blocked,fliA|fliZ,2
fliA,fliF,cross_scc_blocked,fliA|fliZ,2
fliA,fliG,cross_scc_blocked,fliA|fliZ,2
fliA,fliH,cross_scc_blocked,fliA|fliZ,2
