cause,effect,adjustment_set,same_scc
pdhR,ndh,arcA|btsR|cra|crp|fis|fnr|fur|glaR|ihfA|ihfB|nsrR|ompR|rpoD|rpoS,False
pdhR,ppsA,btsR|cra|crp|fnr|glaR|lrp|ompR|rpoD|rpoS,False
pdhR,ppsR,btsR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
pdhR,rsmH,btsR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
pdhR,tomB,basR|btsR|cpxR|cra|crp|fnr|glaR|nac|ompR|rpoD|rpoS,False
pdhR,ybcV,btsR|cra|crp|fnr|glaR|nac|ompR|rpoD|rpoS,False
pdhR,ybcW,btsR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
c0293,fadR,dksA|rpoD,False
c0293,hcaR,fur|nac,False
fadR,accA,c0293|dksA|rpoD,False
fadR,accB,c0293|dksA|rpoD,False
fadR,accC,c0293|dksA|rpoD,False
fadR,accD,c0293|dksA|rpoD,False
fadR,fabA,c0293|dksA|fabR|rpoD,False
fadR,fabB,c0293|dksA|fabR|rpoD,False
fadR,fabD,c0293|dksA|rpoD,False
fadR,fabG,c0293|dksA|rpoD,False
fadR,fabH,c0293|dksA|rpoD,False
fadR,fabI,c0293|dksA|rpoD,False
fadR,fadA,arcA|c0293|dksA|fis|rob|rpoD,False
fadR,fadB,arcA|c0293|dksA|fis|rob|rpoD,False
fadR,fadD,arcA|c0293|crp|dksA|rob|rpoD,False
fadR,fadE,arcA|c0293|cpxR|dksA|lldR|ompR|pdhR|rpoD,False
fadR,fadH,arcA|c0293|crp|dksA|hipB|pdhR|rpoD,False
fadR,fadI,arcA|c0293|cpxR|dksA|lrp|rpoD,False
fadR,fadJ,arcA|c0293|dksA|rpoD,False
fadR,fadL,arcA|c0293|crp|dksA|lldR|lrp|ompR|pdhR|phoP|rob|rpoD|rpoN|rpoS,False
fadR,fadM,c0293|dksA|pdhR|rpoD|rpoE,False
fadR,iclR,c0293|dksA|flhC|flhD|rpoD,False
fadR,uspA,c0293|dksA|ihfA|ihfB|nac|rpoD,False
hcaR,hcaB,c0293|fur|nac,False
hcaR,hcaC,c0293|fur|nac,False
hcaR,hcaD,c0293|fur|nac,False
hcaR,hcaE,c0293|fur|nac,False
hcaR,hcaF,c0293|fur|nac,False
cadC,cadA,arcA|fnr|fur|gadE|gadX|glaR|hns|leuO|lrp|mlrA|ompR|rcsB|rpoD|soxS,False
cadC,cadB,arcA|fnr|fur|gadE|gadX|glaR|hns|leuO|lrp|mlrA|ompR|rcsB|rpoD,False
caiF,caiA,arcA|crp|fnr|hns|nac|narL|rpoD|spf,False
caiF,caiB,arcA|crp|fnr|hns|nac|narL|rpoD,False
caiF,caiC,arcA|crp|fnr|hns|nac|narL|rpoD,False
caiF,caiD,arcA|crp|fnr|hns|nac|narL|rpoD,False
caiF,caiE,arcA|crp|fnr|hns|nac|narL|rpoD,False
caiF,caiT,arcA|crp|fnr|hns|nac|narL|rpoD,False
caiF,fixA,crp|fnr|hns|nac|narL|rpoD,False
caiF,fixB,crp|fnr|hns|nac|narL|rpoD,False
caiF,fixC,crp|fnr|hns|nac|narL|rpoD,False
caiF,fixX,crp|fnr|hns|nac|narL|rpoD,False
cbl,ssuA,cpxR|cysB|fnr|glnG|ihfA|ihfB|lrp|rpoD|yeiE,False
cbl,ssuB,cpxR|cysB|fnr|glnG|ihfA|ihfB|lrp|rpoD,False
cbl,ssuC,cpxR|cysB|fnr|glnG|ihfA|ihfB|lrp|rpoD,False
cbl,ssuD,cpxR|cysB|fnr|glnG|ihfA|ihfB|lrp|rpoD,False
cbl,ssuE,cpxR|cysB|fnr|glnG|ihfA|ihfB|lrp|nac|rpoD,False
cbl,tauA,cpxR|cysB|fur|glnG|lrp|nac|rpoD,False
cbl,tauB,cpxR|cysB|fur|glnG|lrp|rpoD,False
cbl,tauC,cpxR|cysB|fur|glnG|lrp|rpoD,False
cbl,tauD,cpxR|cysB|glnG|lrp|rpoD,False
cdaR,garD,fnr|nac,False
cdaR,garK,fnr|fur|hns|nac|rpoD,False
cdaR,garL,fnr|fur|hns|nac|rpoD,False
cdaR,garP,fnr|fur|hns|nac|rpoD,False
cdaR,garR,fnr|fur|hns|nac|rpoD,False
cdaR,gudD,nac,False
cdaR,gudP,nac,False
cdaR,gudX,nac,False
cdaR,rnpB,fis|fnr|fur|hns|nac|rpoD,False
cecR,rhlE,rpoD,False
cecR,ybhF,rpoD,False
cecR,ybhG,rpoD,False
cecR,ybhR,rpoD,False
cecR,ybhS,rpoD,False
chbR,chbA,crp|nagC,False
chbR,chbB,crp|nagC,False
chbR,chbC,crp|nagC,False
chbR,chbF,crp|nagC,False
chbR,chbG,crp|lrp|nagC,False
citR,ybdM,,False
citR,ybdN,arcA|cysB|fnr|rpoD,False
comR,bhsA,crp|rpoD|rpoE,False
cpxR,ampH,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,chaA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,chaB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,dgt,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,epmB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,ettA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,frmB,alpA|basR|btsR|frmR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,gstA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,pdeB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,qmcA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,ygjR,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,yhdJ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,yjfN,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
cpxR,yqaE,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
feaR,feaB,cpxR|crp|nac|nsrR|phoB|qseB|rpoD,False
feaR,tynA,cpxR|crp|nac|nsrR|phoB|qseB|rpoD,False
rpoE,bamA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,bamB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,bamD,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,bepA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,cca,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,der,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,dnaE,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,dolP,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,essD,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,fkpA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,lpxB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,micL,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,prfB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,rclA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA|rclR,False
rpoE,rclB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA|rclR,False
rpoE,rclC,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA|rclR,False
rpoE,recR,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,rnhB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,rrrD,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,rseP,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,rzpD,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,surA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,ybaB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,ydhI,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,ydhJ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,ydhK,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yeaY,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yfeX,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yfeY,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yfgD,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yggN,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yghF,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yicI,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoE,yieF,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoH,cnoX,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoH,dnaJ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoH,dnaK,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
rpoH,hemW,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
